dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/3qqg7s	b4f04ac9-5449-4dd8-90f9-f66fc942b781	Finds of rare species of animals in Ukraine (2022)	Vasyliuk O, Kavurka V, Kutsokon Y, Nekrasova O, Bronskov O, Hnatyna O, Kurylenko O, Yurechko R, Abakumov O, Babiy Y, Babiichuk O, Babko R, Bachynskyi A, Bashta A, Bengus Y, Berest Z, Bronskova O, Brusentsova N, Varyvoda M V, Veselskyi M, Vynokurova S, Vishnevskiy D, Vorobey P, Havrys G, Gazarian S, Haidash O, Godlevska E, Honchar H, Honcharov G, Horbenko Y, Gorobchyshyn V, Hryb O, Hrynchyshyn T, Hryniuk P, Grishchenko V, Gromyk B, Ghazali M, Dedus' V I, Dovganych V, Dovganych Y, Drebet M, Drozdova-German L, Dugina O, Dupak V, Diakov V, Zherdieva N, Zimin O, Ivanova K, Ilminska L, Klimov V, Knysh M, Korh Y, Kostiushyn V, Kotserzhynska I, Kuzhel V, Kuzhel K, Kuzmenko Y, Kuzmenko T, Kukshyn O, Kumpanenko O, Kurakin O, Derzhypilskyi L, Lysenko R, Loyko V, Liumkis P, Liashenko Y, Mamedova Y, Martyniuk V, Nechyporuk M, Moroz V, Nikolenko A, Novak V, Pohribnyi O, Ovsiyenko Y, Panchuk O, Osadchuk P, Panchenko P, Parkhomenko V, Pokynchereda V, Popovych Y, Podpriatov O, Pitsyk V, Rizun V, Roman Y, Rudenko A, Rudenko V, Rudik M, Rusin M, Kotserzhynska S, Seliunina Z, Serediuk G, Skliar O, Skubak Y, Slobodian R, Smirnov D, Smirnov N, Snigiriov S, Snigiriov P, Sokolovskyj D, Strus Y, Suriadna N, Tkachenko P, Turaziani G, Umanets O, Formaniuk O, Franchuk M, Fryz-Duzhak O, Khymyn M, Tsvelykh O, Chaplyhina A, Chernichko Y, Chumak V, Chumak M, Churilov A, Shevtsov A, Sheshurak P, Shydlovskyy I, Shchus' L, Yuzyk D, Yablonovska-Grishchenko Y, Yanish Y (2024). Finds of rare species of animals in Ukraine (2022). Version 1.10. Ukrainian Nature Conservation Group (NGO). Occurrence dataset. https://ukraine.ipt.gbif.no/resource?r=redbookua2022&v=1.10	122
10.15468/jhnfq9	72ea9678-7174-44c4-9535-de9cb733a15d	2021_CEN PACA_1		121
10.15468/7xjng3	dd915a74-f2d2-4888-a62d-4a5ebeae4e0e	2017_CEN PACA_1		120
10.15468/ukhf9p	11c5c7f0-08cf-4a8b-a0e2-dfbc9ad768e3	Historical Vertebrate Distributions in Bavaria 1845	Rehbein M, Escobari Vargas A B, Fischer S O, Güntsch A, Haas B, Matheisen G, Perschl T, Wieshuber A, Engel T (2024). Historical Vertebrate Distributions in Bavaria 1845. Bayerisches Hauptstaatsarchiv. Occurrence dataset https://doi.org/10.15468/ukhf9p accessed via GBIF.org on 2025-06-16.	119
10.15468/emwhcf	b1bf87b8-9f0c-4754-b811-583d035fc134	LIGNE NOUVELLE MONTPELLIER PERPIGNAN DUP PHASE 1 - Oiseaux - Inventaire non protocolé		119
10.15468/se7xzu	ba8b3250-6115-4680-8c21-6129c35ba738	2022_CEN PACA_1		118
10.15468/364xmn	aeee38d0-b290-4155-ae4b-b02a42b93e35	EDP Foz-Tua: Riparian Birds (transects) - Ecological Monitoring Program [2011-17]	Costa H, Santos J, Marques A T, Coelho H, Zina H, Ribeiro E, Pedrosa R, Cardoso H, Queirós L, Paula J, Cabral J A, Travassos P, Santos R, Carvalho D, Gomes C, Múrias T (2020): EDP Foz-Tua: Riparian Birds (transects) - Ecological Monitoring Program [2011-17]. v1. EDP - Energias de Portugal. Dataset/Samplingevent. http://ipt.gbif.pt/ipt/resource?r=edp_tua_rivparian_birds_transects_pme&amp;v=1.0	117
10.15468/um3efu	2dd3b5c1-2a7f-4324-83d3-d05cff85676b	2020_CEN PACA_1		116
10.15468/qv2t88	185e7de8-d6fd-47f1-971a-d153c638addc	Données naturalistes de la ZPS Estuaire et Marais de la Basse Seine (FR2310044) (partie embouchure de la Seine)-Suivi mensuel des oiseaux d'eau (décomptes marée basse et marée haute) (OA) - ZPS Estuaire et Marais de la Basse Seine		115
10.15468/5bsvps	f1b23b93-1df3-4e73-8de1-c0c368202a11	"Records of birds species digitalized from registration cards and questionnaires stored in collections of Department of ecology and zoology of ESC ""Institute of biology and medicine"", Taras Shevchenko national university of Kyiv"	"Tesolkina T, Kazannyk V, Marushchak O (2023). Records of birds species digitalized from registration cards and questionnaires stored in collections of Department of ecology and zoology of ESC ""Institute of biology and medicine"", Taras Shevchenko national university of Kyiv. Version 1.2. Ukrainian Nature Conservation Group (NGO). Occurrence dataset. https://ukraine.ipt.gbif.no/resource?r=birdscardsknu1&v=1.2"	115
